cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frQ7-WFqvp,THANK YOU I WAS SO CONFUSED,1 bulan yang lalu,Hazel Behning,UCRJg9cYJB-Io7EKDMnX3Kng,"1,4 rb",https://yt3.ggpht.com/ytc/AMLnZu_haG3I0qPoSQJlbO06jFj2RhYr1C17XYFBYa4qYw=s176-c-k-c0x00ffffff-no-rj,false,true,1664341269.485569
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frR-mxXTy7,Yupppp,1 bulan yang lalu,E,UC3_rBmLlPxE35Bb7Y8H-G_A,215,https://yt3.ggpht.com/ytc/AMLnZu-MS_stF4Ilpf0zdAuCVZLPPc87PfsGDnZiFZFq=s176-c-k-c0x00ffffff-no-rj,false,true,1664341269.48978
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frRVQ3MNYD,THANK U HAHAAHAHA,1 bulan yang lalu,˖zєηιтsυ˖,UCeUmU6nCMjr-4CLpz0wdlXg,237,https://yt3.ggpht.com/YA0aDpFEn4u22S5f65wJi4epG--D7LD26NVueXWAXfXRUH5d88w87rcP8oYAB-oS0IpipponLQ=s176-c-k-c0x00ffffff-no-rj,false,true,1664341269.493832
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frRv3qflb0,thanks I was really confused what's going on in the comments 💀,1 bulan yang lalu (diedit),putri agape,UCsJQOVxRbZH0lzYcrZoCYCg,905,https://yt3.ggpht.com/ytc/AMLnZu_XhqYZm9LPT2f1-L0oMJf8egTJLm7UGKlIdvIP=s176-c-k-c0x00ffffff-no-rj,false,true,1664341269.497689
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frSBAtq_lU,So basicaly Disney is doing what A.H. did in the 40s?,1 bulan yang lalu,TheSharks™,UCPahIasGjuUXhOZUr2l1RBw,439,https://yt3.ggpht.com/ytc/AMLnZu8DXgYJwLv1ihPO7uU4yLbsTvfsj2p1GplMt-uy=s176-c-k-c0x00ffffff-no-rj,false,true,1664341269.5012
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frSDvHPoSL,nice explanation,1 bulan yang lalu,seok jin,UCM3az1Hj0a_opsIMXr_VcWQ,146,https://yt3.ggpht.com/ytc/AMLnZu975N8CUme0QqMqbgshYlnDPkr1BThHBnXXu0g0=s176-c-k-c0x00ffffff-no-rj,false,true,1664341270.360291
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frSIMSt5Sy,Thank YOU,1 bulan yang lalu,Vand Al Savage,UCr_smSJAMoTXP-v80XXtozA,111,https://yt3.ggpht.com/-jCtTfuu4gs9YmuCZiV5nXvEjJJeV4zMiv3K8bYHwJTQVpu25YQiilqjmWyJZU6pnyN79LO81g=s176-c-k-c0x00ffffff-no-rj,false,true,1664341270.364282
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frSXu21Xo1,Thank u so much I was wondering what’s happening here,1 bulan yang lalu,loogmoo001,UCSa_gIeHhDLoQKdcaSd9Fxg,174,https://yt3.ggpht.com/ytc/AMLnZu-h1fYHf4uhZ1cEWlhKIxtSAhp6wpUq9s9JSwfBmA=s176-c-k-c0x00ffffff-no-rj,false,true,1664341270.367823
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frT-IK48A5,Yeah no it's bothers yall so much that there are more positive than negative that you make a conspiracy😂,1 bulan yang lalu,IAMsoIExist,UCHfPnTDTjgk3jqSah8J84yg,284,https://yt3.ggpht.com/ytc/AMLnZu-rjigFErtsD1a-NY341ESIwGqwkdtgJxCBnw=s176-c-k-c0x00ffffff-no-rj,false,true,1664341270.37136
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frT0X65Dpn,Thanks for explaining and yay for the new little mermaid,1 bulan yang lalu,Cindy Mariel,UCBeZugh-4aI3xc_MxeZD3CQ,377,https://yt3.ggpht.com/ytc/AMLnZu8l_lmhqkpHdrOiNLEEkygYpnicRK5OilXqHDEL=s176-c-k-c0x00ffffff-no-rj,false,true,1664341270.374604
